epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,89.9965,1.5482,1.54486,1.24649,0.75104,0.19718,0.3409,0.20907,1.71819,2.77143,1.38396,0.000680092,0.000680092,0.000680092
83,91.0055,1.37394,1.4782,1.16957,0.7739,0.1889,0.32304,0.16932,1.9069,2.88677,1.50579,0.000686865,0.000686865,0.000686865
84,92.0269,1.51814,1.58701,1.23187,0.76966,0.1725,0.30308,0.14995,2.0175,2.95453,1.59473,0.000693598,0.000693598,0.000693598
85,92.9999,1.53616,1.55105,1.22928,0.76643,0.17312,0.3052,0.16198,1.96324,2.91832,1.55515,0.000700291,0.000700291,0.000700291
86,93.9806,1.4635,1.53896,1.20441,0.72977,0.16206,0.30723,0.1882,1.74648,2.81399,1.40243,0.000706945,0.000706945,0.000706945
87,94.9685,1.50912,1.49954,1.23552,0.75099,0.14567,0.30477,0.19315,1.66536,2.83899,1.36254,0.000713559,0.000713559,0.000713559
88,95.9378,1.48225,1.5081,1.19892,0.72356,0.12205,0.26819,0.15348,1.80354,2.9459,1.44031,0.000720134,0.000720134,0.000720134
89,96.8829,1.40249,1.48705,1.19697,0.72053,0.12507,0.26241,0.12159,2.03499,3.00945,1.57598,0.000726669,0.000726669,0.000726669
90,97.8564,1.44206,1.49752,1.20651,0.70196,0.13907,0.29142,0.14065,1.98463,2.90498,1.54237,0.000733164,0.000733164,0.000733164
91,98.8706,1.47132,1.49384,1.20211,0.72263,0.1823,0.33372,0.19118,1.75009,2.74401,1.38366,0.00073962,0.00073962,0.00073962
92,99.8804,1.42398,1.47783,1.18307,0.69532,0.20464,0.35377,0.21408,1.63112,2.69189,1.31109,0.000746036,0.000746036,0.000746036
93,100.853,1.43907,1.44214,1.19818,0.67609,0.22178,0.35959,0.19955,1.69827,2.70026,1.34952,0.000752413,0.000752413,0.000752413
94,101.826,1.38737,1.44283,1.18638,0.63609,0.23756,0.36144,0.19834,1.75522,2.66496,1.39091,0.00075875,0.00075875,0.00075875
95,102.762,1.36983,1.45547,1.19257,0.61768,0.24746,0.35778,0.19139,1.79573,2.66253,1.42453,0.000765047,0.000765047,0.000765047
96,103.751,1.3451,1.4439,1.1801,0.63961,0.24913,0.36797,0.21846,1.67009,2.59673,1.35765,0.000771305,0.000771305,0.000771305
97,104.737,1.32076,1.35202,1.18541,0.69407,0.27082,0.38215,0.24089,1.60617,2.52283,1.3266,0.000777523,0.000777523,0.000777523
98,105.716,1.41448,1.36179,1.1942,0.72103,0.2777,0.39286,0.24009,1.66105,2.46194,1.35547,0.000783702,0.000783702,0.000783702
99,106.675,1.31112,1.34335,1.16028,0.70701,0.2755,0.38649,0.22235,1.73354,2.45558,1.39587,0.000789841,0.000789841,0.000789841
100,107.645,1.31686,1.32418,1.15393,0.68442,0.27333,0.38005,0.23086,1.64614,2.42179,1.34026,0.00079594,0.00079594,0.00079594
101,108.661,1.35445,1.33612,1.14577,0.67318,0.27488,0.37084,0.22948,1.63269,2.37819,1.32785,0.000802,0.000802,0.000802
102,109.677,1.45403,1.37723,1.2157,0.61667,0.27098,0.35117,0.20861,1.7425,2.40264,1.37754,0.00080002,0.00080002,0.00080002
103,110.669,1.31256,1.3189,1.14004,0.55581,0.27683,0.33003,0.1878,1.8195,2.44669,1.43012,0.00079804,0.00079804,0.00079804
104,111.693,1.35713,1.31656,1.15388,0.51796,0.2795,0.32355,0.19671,1.75321,2.43083,1.40819,0.00079606,0.00079606,0.00079606
105,112.752,1.284,1.29633,1.14015,0.50036,0.30307,0.32343,0.20642,1.67496,2.36367,1.36668,0.00079408,0.00079408,0.00079408
106,113.804,1.41225,1.37621,1.186,0.47939,0.31024,0.32227,0.20685,1.66898,2.34169,1.36625,0.0007921,0.0007921,0.0007921
107,114.824,1.34563,1.32096,1.15136,0.46431,0.29969,0.31441,0.18445,1.80231,2.4066,1.45552,0.00079012,0.00079012,0.00079012
108,115.828,1.32424,1.29618,1.14277,0.4715,0.29621,0.31313,0.17751,1.83531,2.4361,1.48337,0.00078814,0.00078814,0.00078814
109,116.908,1.4026,1.2984,1.15977,0.46363,0.2897,0.30429,0.1744,1.81064,2.44873,1.47864,0.00078616,0.00078616,0.00078616
110,117.897,1.36737,1.29054,1.18014,0.47191,0.28207,0.29701,0.17381,1.75648,2.48831,1.45122,0.00078418,0.00078418,0.00078418
111,118.868,1.29978,1.28161,1.13761,0.4973,0.28556,0.3067,0.17741,1.76139,2.5097,1.45699,0.0007822,0.0007822,0.0007822
112,119.892,1.3591,1.27304,1.15946,0.52678,0.31182,0.34774,0.20298,1.71962,2.41143,1.41972,0.00078022,0.00078022,0.00078022
113,120.912,1.31392,1.24547,1.13017,0.5463,0.35095,0.39932,0.22731,1.693,2.2399,1.38642,0.00077824,0.00077824,0.00077824
114,121.961,1.31005,1.23347,1.13932,0.54669,0.36277,0.40358,0.22627,1.73521,2.16899,1.4088,0.00077626,0.00077626,0.00077626
115,123.103,1.26256,1.19905,1.11202,0.54419,0.3672,0.39824,0.22081,1.77345,2.15189,1.42797,0.00077428,0.00077428,0.00077428
116,124.311,1.29393,1.15772,1.11883,0.53927,0.38489,0.40228,0.22599,1.75569,2.07903,1.40846,0.0007723,0.0007723,0.0007723
117,125.521,1.29865,1.18052,1.14238,0.56705,0.38054,0.39438,0.21631,1.79928,2.01694,1.43926,0.00077032,0.00077032,0.00077032
118,126.673,1.22585,1.20064,1.10855,0.59092,0.38079,0.41245,0.2268,1.77077,1.95678,1.41751,0.00076834,0.00076834,0.00076834
119,127.712,1.2375,1.17399,1.10717,0.62908,0.3774,0.43143,0.24063,1.73392,1.9106,1.3918,0.00076636,0.00076636,0.00076636
120,128.793,1.22348,1.19798,1.1159,0.65123,0.36082,0.42877,0.22937,1.79995,1.94779,1.43374,0.00076438,0.00076438,0.00076438
121,129.799,1.11442,1.07225,1.08159,0.67296,0.37386,0.43065,0.21961,1.90546,1.99556,1.50742,0.0007624,0.0007624,0.0007624
122,130.773,1.23304,1.0983,1.09038,0.66921,0.37607,0.44647,0.23522,1.8569,1.99852,1.47634,0.00076042,0.00076042,0.00076042
123,131.752,1.20245,1.18104,1.10614,0.63573,0.38959,0.45002,0.25467,1.72139,1.96858,1.39675,0.00075844,0.00075844,0.00075844
124,132.753,1.27208,1.16256,1.11635,0.63379,0.39057,0.44254,0.25687,1.70218,1.95947,1.39776,0.00075646,0.00075646,0.00075646
125,133.775,1.24375,1.13571,1.10334,0.57712,0.37768,0.41136,0.22002,1.87375,2.04923,1.51466,0.00075448,0.00075448,0.00075448
126,134.76,1.25805,1.16299,1.08783,0.5417,0.37858,0.39386,0.20051,1.92914,2.08624,1.55641,0.0007525,0.0007525,0.0007525
127,135.764,1.21771,1.12043,1.09662,0.5268,0.35803,0.38459,0.20813,1.81546,2.11371,1.49204,0.00075052,0.00075052,0.00075052
128,136.761,1.26222,1.13568,1.08826,0.53578,0.36096,0.3955,0.22045,1.74608,2.07814,1.44816,0.00074854,0.00074854,0.00074854
129,137.749,1.17814,1.09015,1.08348,0.568,0.34386,0.39577,0.21481,1.82592,2.08592,1.51562,0.00074656,0.00074656,0.00074656
130,138.707,1.11712,1.04912,1.073,0.57159,0.35812,0.39076,0.19745,1.9265,2.10118,1.59832,0.00074458,0.00074458,0.00074458
131,139.643,1.19189,1.07552,1.0993,0.55593,0.37309,0.4029,0.21095,1.88029,2.05786,1.55669,0.0007426,0.0007426,0.0007426
132,140.59,1.23912,1.09532,1.10131,0.56016,0.39284,0.41864,0.23206,1.78229,2.03628,1.4807,0.00074062,0.00074062,0.00074062
133,141.534,1.17829,1.10092,1.0778,0.58646,0.37209,0.42566,0.23181,1.79738,2.0562,1.46943,0.00073864,0.00073864,0.00073864
134,142.497,1.23226,1.09925,1.06488,0.59103,0.4204,0.44225,0.24011,1.76511,1.99935,1.42303,0.00073666,0.00073666,0.00073666
